order_item_id,order_id,product_id,quantity,price_at_purchase,order_date,customer_id,total_price,product_name,category,price,supplier_id,revenue
1,6550,1032,1,342.92,2024-09-18,2434,419.09,Storage Shelf,Furniture,680.43,532,342.92
2,7324,1695,1,955.86,2023-11-27,2160,955.86,Desk Lamp,Home & Kitchen,940.82,595,955.86
3,11952,1962,1,909.45,2024-03-05,2898,979.86,Rice Cooker,Home & Kitchen,542.94,562,909.45
4,8938,1958,1,984.91,2024-08-31,8497,984.91,External SSD,Electronics,180.06,558,984.91
5,4238,1880,1,649.18,2023-12-05,6295,649.18,Kitchen Blender,Home & Kitchen,856.78,580,649.18
6,14235,672,1,695.76,2024-03-17,2727,727.98,Microphone,Electronics,294.05,572,695.76
7,10944,1,1,54.83,2024-02-22,2936,54.83,Office Chair,Furniture,445.01,501,54.83
8,11075,827,1,320.24,2024-08-14,2994,320.24,Smart Watch,Electronics,764.34,527,320.24
9,13842,707,1,555.05,2024-05-20,5953,555.05,Bath Towels,Home & Kitchen,388.55,507,555.05
10,1126,1461,1,308.21,2023-11-17,4825,308.21,Gaming Mouse Pad,Accessories,587.62,561,308.21
11,9699,566,1,901.42,2024-02-22,6732,981.61,Mechanical Keyboard,Electronics,696.52,566,901.42
12,3682,496,1,350.74,2024-03-14,7300,355.18,4K Monitor,Electronics,671.47,596,350.74
13,8310,204,1,957.72,2024-08-09,7873,957.72,Desk Mat,Accessories,923.37,504,957.72
14,6084,791,1,934.52,2024-08-23,5627,934.52,Wireless Earbuds,Electronics,73.21,591,934.52
15,3161,1970,1,488.16,2024-11-01,2086,488.16,Wireless Mouse,Electronics,148.47,570,488.16
16,57,250,1,388.08,2024-05-26,975,388.08,Keyboard Wrist Rest,Accessories,491.82,550,388.08
17,10706,164,1,321.96,2023-11-29,5075,361.4,Toaster Oven,Home & Kitchen,770.31,564,321.96
18,11179,554,1,24.32,2024-02-06,7024,24.32,Desk Mat,Accessories,256.21,554,24.32
19,9585,1516,1,477.31,2024-02-22,941,477.31,Mechanical Keyboard,Electronics,467.94,516,477.31
20,7661,904,1,53.1,2024-08-20,5801,184.74,Desk Mat,Accessories,187.29,504,53.1
21,1860,900,1,42.33,2024-09-30,4276,42.33,Keyboard Wrist Rest,Accessories,709.67,600,42.33
22,9492,1733,1,43.54,2024-09-27,4374,43.54,WiFi Router,Electronics,733.41,533,43.54
23,10454,1883,1,487.57,2024-07-08,7945,487.57,WiFi Router,Electronics,557.59,583,487.57
24,2853,716,1,44.45,2024-03-29,1888,44.45,Mechanical Keyboard,Electronics,980.89,516,44.45
25,51,1188,1,735.84,2024-05-16,3177,735.84,Wireless Charger,Electronics,972.74,588,735.84
26,8481,1331,1,186.87,2023-12-23,425,249.45,Wall Clock,Home & Kitchen,670.63,531,186.87
27,11997,1249,1,620.96,2024-04-25,5410,620.96,Webcam HD,Electronics,132.79,549,620.96
28,6792,781,1,812.89,2024-05-21,7971,812.89,Wall Clock,Home & Kitchen,842.04,581,812.89
29,8684,458,1,26.87,2024-07-12,5894,26.87,External SSD,Electronics,178.04,558,26.87
30,12854,205,1,827.86,2024-06-21,2835,827.86,Tablet Stand,Accessories,331.01,505,827.86
31,7249,1983,1,333.81,2023-12-10,9127,335.38,WiFi Router,Electronics,319.3,583,333.81
32,9279,1014,1,241.51,2024-04-26,995,241.51,Toaster Oven,Home & Kitchen,289.76,514,241.51
33,6558,1319,1,316.05,2024-09-04,1399,403.95,Laptop Sleeve,Accessories,413.24,519,316.05
34,5292,1378,1,123.95,2024-08-03,1259,123.95,Cable Organizer,Accessories,462.11,578,123.95
35,7221,1157,1,782.15,2024-10-19,6466,782.15,Bath Towels,Home & Kitchen,579.74,557,782.15
36,8357,925,1,206.41,2023-11-05,4733,206.41,Bluetooth Headphones,Electronics,546.06,525,206.41
37,14041,1153,1,459.13,2024-05-10,7404,459.13,Document Scanner,Electronics,163.03,553,459.13
38,4657,1471,1,423.73,2024-07-25,9938,423.73,Power Strip,Electronics,676.14,571,423.73
39,100,480,1,111.23,2024-01-11,3089,111.23,Kitchen Blender,Home & Kitchen,330.42,580,111.23
40,1802,1338,1,677.87,2024-08-31,9808,677.87,Wireless Charger,Electronics,831.29,538,677.87
41,7789,375,1,465.42,2023-12-03,8797,465.42,Bluetooth Headphones,Electronics,490.32,575,465.42
42,3325,1920,1,475.69,2024-09-04,4478,475.69,Wireless Mouse,Electronics,397.75,520,475.69
43,2843,879,1,432.37,2023-12-26,6169,432.37,Storage Containers,Home & Kitchen,269.61,579,432.37
44,6400,182,1,947.32,2024-03-31,8109,1023.85,Storage Shelf,Furniture,770.46,582,947.32
45,11500,51,1,675.62,2024-09-15,7978,675.62,Office Chair,Furniture,704.55,551,675.62
46,6897,1104,1,516.94,2024-07-12,6618,516.94,Desk Mat,Accessories,129.46,504,516.94
47,12382,1785,1,758.96,2024-08-29,830,758.96,Smartphone Case,Accessories,494.24,585,758.96
48,9976,1528,1,148.35,2024-10-20,4348,148.35,Cable Organizer,Accessories,346.57,528,148.35
49,1809,173,1,628.97,2024-01-07,7424,758.25,Bookshelf,Furniture,903.96,573,628.97
50,5957,526,1,693.67,2023-12-30,8681,693.67,Noise Cancelling Headset,Electronics,182.82,526,693.67
51,8450,550,1,721.84,2024-06-18,3575,721.84,Keyboard Wrist Rest,Accessories,493.65,550,721.84
52,14945,629,1,954.23,2024-06-14,9522,954.23,Storage Containers,Home & Kitchen,731.75,529,954.23
53,6813,904,1,913.78,2024-09-06,4759,913.78,Desk Mat,Accessories,187.29,504,913.78
54,12604,1389,1,507.4,2024-10-23,7420,507.4,Wireless Presenter,Electronics,287.91,589,507.4
55,1022,813,1,766.87,2024-06-07,7073,766.87,Phone Grip,Accessories,790.99,513,766.87
56,8662,717,1,122.74,2023-12-17,6109,155.6,Food Processor,Home & Kitchen,458.18,517,122.74
57,14583,438,1,347.43,2024-01-23,6765,351.54,Wireless Charger,Electronics,643.24,538,347.43
58,5606,366,1,314.02,2024-06-22,3811,314.02,Mechanical Keyboard,Electronics,136.29,566,314.02
59,6255,1418,1,26.88,2023-11-29,1128,54.94,Monitor Stand,Furniture,368.87,518,26.88
60,14711,1347,1,394.39,2023-12-26,275,394.39,Water Bottle,Home & Kitchen,832.02,547,394.39
61,9825,1479,1,630.44,2024-10-19,3495,630.44,Storage Containers,Home & Kitchen,482.98,579,630.44
62,10666,1067,1,386.69,2024-03-11,7865,386.69,Food Processor,Home & Kitchen,564.21,567,386.69
63,14204,1242,1,405.54,2024-05-01,5856,405.54,Electric Kettle,Home & Kitchen,444.69,542,405.54
64,4433,875,1,127.98,2024-08-01,441,127.98,Bluetooth Headphones,Electronics,476.77,575,127.98
65,4050,1817,1,882.23,2024-02-25,6506,963.11,Food Processor,Home & Kitchen,167.9,517,882.23
66,99,202,1,826.56,2024-07-09,7243,826.56,Coffee Maker,Home & Kitchen,211.92,502,826.56
67,8827,659,1,422.47,2024-10-04,8235,422.47,Computer Speakers,Electronics,70.66,559,422.47
68,7711,912,1,68.1,2023-11-29,6070,68.85,Rice Cooker,Home & Kitchen,835.69,512,68.1
69,1036,468,1,854.47,2024-07-31,544,854.47,Monitor Stand,Furniture,968.69,568,854.47
70,7864,995,1,266.78,2023-11-12,172,355.01,Desk Lamp,Home & Kitchen,202.99,595,266.78
71,2235,1161,1,724.13,2024-01-13,4602,763.99,Gaming Mouse Pad,Accessories,411.57,561,724.13
72,12274,463,1,730.52,2024-08-18,2535,730.52,Phone Grip,Accessories,109.49,563,730.52
73,12288,930,1,612.09,2023-12-05,1688,612.09,Kitchen Blender,Home & Kitchen,242.55,530,612.09
74,9367,429,1,508.83,2024-03-21,9622,513.66,Storage Containers,Home & Kitchen,202.78,529,508.83
75,4712,66,1,850.01,2024-03-30,1911,850.01,Mechanical Keyboard,Electronics,620.87,566,850.01
76,9791,1665,1,867.92,2024-09-10,1203,867.92,Laptop Stand,Accessories,38.88,565,867.92
77,1424,48,1,52.13,2024-03-05,4552,52.13,File Cabinet,Furniture,648.43,548,52.13
78,7265,431,1,204.65,2024-10-18,3856,269.39,Wall Clock,Home & Kitchen,387.14,531,204.65
79,12572,309,1,762.91,2023-12-24,8606,762.91,Computer Speakers,Electronics,864.9,509,762.91
80,1248,1351,1,41.84,2023-11-27,7067,41.84,Office Chair,Furniture,635.32,551,41.84
81,8986,787,1,354.92,2024-06-06,7,354.92,Throw Pillows,Home & Kitchen,843.88,587,354.92
82,9748,1658,1,979.77,2023-11-23,2944,979.77,External SSD,Electronics,216.24,558,979.77
83,13222,1633,1,871.23,2024-09-30,57,871.23,WiFi Router,Electronics,854.6,533,871.23
84,11479,632,1,990.41,2024-08-31,9043,1000.18,Storage Shelf,Furniture,826.55,532,990.41
85,1220,527,1,962.88,2024-06-17,5689,972.08,Smart Watch,Electronics,623.54,527,962.88
86,3619,1935,1,54.56,2024-08-19,389,54.56,Smartphone Case,Accessories,279.71,535,54.56
87,9813,1050,1,51.47,2024-10-18,6341,51.47,Keyboard Wrist Rest,Accessories,666.27,550,51.47
88,14800,1183,1,728.79,2024-01-02,1624,750.93,WiFi Router,Electronics,642.47,583,728.79
89,12770,1085,1,456.7,2024-06-06,8537,456.7,Smartphone Case,Accessories,503.29,585,456.7
90,11725,498,1,638.45,2024-06-07,7431,647.1,File Cabinet,Furniture,135.5,598,638.45
91,14675,858,1,327.77,2024-04-20,9075,327.77,External SSD,Electronics,337.1,558,327.77
92,13133,1025,1,912.58,2024-02-16,6805,912.58,Bluetooth Headphones,Electronics,661.38,525,912.58
93,358,503,1,189.93,2024-05-23,2000,189.93,Document Scanner,Electronics,602.3,503,189.93
94,2244,1896,1,654.15,2024-05-19,9513,654.15,4K Monitor,Electronics,389.19,596,654.15
95,9399,1435,1,693.05,2024-08-12,4087,693.05,Smartphone Case,Accessories,265.17,535,693.05
96,12581,575,1,733.15,2024-08-24,9122,733.98,Bluetooth Headphones,Electronics,812.69,575,733.15
97,8097,1261,1,935.29,2024-10-18,5140,935.29,Gaming Mouse Pad,Accessories,134.99,561,935.29
98,12011,1424,1,836.12,2023-12-26,7178,836.12,Portable Charger,Accessories,985.24,524,836.12
99,12422,451,1,693.48,2024-02-04,8722,702.23,Office Chair,Furniture,179.05,551,693.48
100,1504,176,1,695.96,2024-09-29,9952,695.96,Noise Cancelling Headset,Electronics,534.78,576,695.96
101,12747,847,1,274.48,2024-06-14,7160,274.48,Water Bottle,Home & Kitchen,389.9,547,274.48
102,8445,1263,1,58.58,2023-12-12,9141,58.58,Phone Grip,Accessories,187.45,563,58.58
103,2111,1812,1,463.7,2023-11-10,5048,463.7,Rice Cooker,Home & Kitchen,842.29,512,463.7
104,163,136,1,281.22,2024-08-16,207,281.22,Standing Desk,Furniture,313.5,536,281.22
105,4385,1028,1,564.88,2024-09-11,4432,564.88,Cable Organizer,Accessories,436.54,528,564.88
106,2233,1851,1,366.11,2023-11-19,1341,366.11,Office Chair,Furniture,315.93,551,366.11
107,6485,347,1,369.88,2024-08-28,79,401.46,Water Bottle,Home & Kitchen,697.57,547,369.88
108,10186,654,1,54.8,2023-12-07,9743,56.61,Desk Mat,Accessories,466.2,554,54.8
109,3986,783,1,791.36,2023-12-10,9001,791.36,WiFi Router,Electronics,513.82,583,791.36
110,11881,1753,1,331.96,2024-01-25,3860,331.96,Document Scanner,Electronics,457.35,553,331.96
111,4822,292,1,694.77,2024-10-13,6904,723.95,Electric Kettle,Home & Kitchen,866.11,592,694.77
112,399,496,1,974.74,2024-08-18,5370,1038.34,4K Monitor,Electronics,671.47,596,974.74
113,7464,707,1,623.7,2024-05-01,2761,623.7,Bath Towels,Home & Kitchen,388.55,507,623.7
114,4310,1709,1,554.63,2024-04-24,7667,554.63,Computer Speakers,Electronics,384.19,509,554.63
115,6345,1104,1,126.97,2024-07-19,9492,126.97,Desk Mat,Accessories,129.46,504,126.97
116,14853,323,1,980.15,2024-05-16,6870,989.39,Bookshelf,Furniture,684.64,523,980.15
117,5053,1388,1,124.88,2024-02-26,7324,192.11,Wireless Charger,Electronics,19.38,588,124.88
118,8658,1239,1,45.18,2024-01-22,8904,83.9,Wireless Presenter,Electronics,71.93,539,45.18
119,14941,605,1,405.58,2024-01-19,4223,405.58,Tablet Stand,Accessories,379.32,505,405.58
120,11852,1662,1,696.82,2024-06-19,3273,702.11,Rice Cooker,Home & Kitchen,747.4,562,696.82
